Date,Price,Before_1Days,Before_2Days,Before_3Days,Before_4Days,Before_5Days,Before_6Days,Before_7Days,Before_8Days,Before_9Days,Before_10Days,Before_11Days,Before_12Days,Before_13Days,Before_14Days,Before_15Days,Before_16Days,Before_17Days,Before_18Days,Before_19Days,Before_20Days,Before_21Days,Before_22Days,Before_23Days,Before_24Days,Before_25Days,Before_26Days,Before_27Days,Before_28Days,Before_29Days,Before_30Days
1999.12.26,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.6592
1999.12.19,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,0.6525
1999.12.12,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,0.6578
1999.12.05,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,0.6643
1999.11.28,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.6724
1999.11.21,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.6615
1999.11.14,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.6517
1999.11.07,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.6474
1999.10.31,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,0.6312
1999.10.24,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,0.6346
