Date,Price
2009.12.06,0.9125
2009.11.29,0.9145
2009.11.22,0.9061
2009.11.15,0.9145
2009.11.08,0.9328
2009.11.01,0.9187
2009.10.25,0.8997
2009.10.18,0.9205
2009.10.11,0.9146
2009.10.04,0.9038
2009.09.27,0.8654
2009.09.20,0.8677
2009.09.13,0.8673
2009.09.06,0.8632
2009.08.30,0.8505
2009.08.23,0.841
2009.08.16,0.8346
2009.08.09,0.8325
2009.08.02,0.8372
2009.07.26,0.8357
2009.07.19,0.8171
2009.07.12,0.8021
2009.07.05,0.7786
2009.06.28,0.797
2009.06.21,0.8074
2009.06.14,0.8055
2009.06.07,0.8122
2009.05.31,0.7931
2009.05.24,0.8009
2009.05.17,0.783
2009.05.10,0.749
2009.05.03,0.7685
2009.04.26,0.7303
2009.04.19,0.7229
2009.04.12,0.7208
2009.04.05,0.7193
2009.03.29,0.7154
2009.03.22,0.6903
2009.03.15,0.6907
2009.03.08,0.6552
2009.03.01,0.6405
2009.02.22,0.6391
2009.02.15,0.6447
2009.02.08,0.6514
2009.02.01,0.6737
2009.01.25,0.6364
2009.01.18,0.6558
2009.01.11,0.6763
2009.01.04,0.6991
2008.12.28,0.7116
2008.12.21,0.6863
2008.12.14,0.6832
2008.12.07,0.6632
2008.11.30,0.6477
2008.11.23,0.6548
2008.11.16,0.6298
2008.11.09,0.6539
2008.11.02,0.6762
2008.10.26,0.6675
2008.10.19,0.622
2008.10.12,0.6886
2008.10.05,0.6477
2008.09.28,0.7738
2008.09.21,0.8324
2008.09.14,0.8308
2008.09.07,0.8202
2008.08.31,0.8282
2008.08.24,0.8573
2008.08.17,0.8678
2008.08.10,0.8666
2008.08.03,0.8845
2008.07.27,0.9301
2008.07.20,0.9536
2008.07.13,0.972
2008.07.06,0.9673
2008.06.29,0.9627
2008.06.22,0.962
2008.06.15,0.9547
2008.06.08,0.9384
2008.06.01,0.962
2008.05.25,0.9548
2008.05.18,0.9588
2008.05.11,0.9541
2008.05.04,0.9398
2008.04.27,0.934
2008.04.20,0.935
2008.04.13,0.9338
2008.04.06,0.9243
2008.03.30,0.921
2008.03.23,0.915
2008.03.16,0.8997
2008.03.09,0.9434
2008.03.02,0.9295
2008.02.24,0.9314
2008.02.17,0.922
2008.02.10,0.9088
2008.02.03,0.8965
2008.01.27,0.9024
2008.01.20,0.8804
2008.01.13,0.8808
2008.01.06,0.8927
2007.12.30,0.8726
2007.12.23,0.877
2007.12.16,0.8676
2007.12.09,0.8626
2007.12.02,0.876
2007.11.25,0.8831
2007.11.18,0.8811
2007.11.11,0.8966
2007.11.04,0.9071
2007.10.28,0.9189
2007.10.21,0.9204
2007.10.14,0.8859
2007.10.07,0.904
2007.09.30,0.9012
2007.09.23,0.8893
2007.09.16,0.8673
2007.09.09,0.8405
2007.09.02,0.8231
2007.08.26,0.8184
2007.08.19,0.8306
2007.08.12,0.7934
2007.08.05,0.8448
2007.07.29,0.855
2007.07.22,0.8513
2007.07.15,0.8803
2007.07.08,0.8702
2007.07.01,0.8574
2007.06.24,0.8495
2007.06.17,0.8481
2007.06.10,0.8423
2007.06.03,0.8427
2007.05.27,0.8319
2007.05.20,0.8183
2007.05.13,0.8235
2007.05.06,0.8336
2007.04.29,0.8209
2007.04.22,0.827
2007.04.15,0.8361
2007.04.08,0.8352
2007.04.01,0.815
2007.03.25,0.8095
2007.03.18,0.805
2007.03.11,0.7954
2007.03.04,0.7814
2007.02.25,0.7797
2007.02.18,0.792
2007.02.11,0.787
2007.02.04,0.7766
2007.01.28,0.774
2007.01.21,0.7732
2007.01.14,0.7895
2007.01.07,0.7837
2006.12.31,0.7788
2006.12.24,0.7892
2006.12.17,0.7846
2006.12.10,0.7814
2006.12.03,0.7854
2006.11.26,0.7881
2006.11.19,0.7786
2006.11.12,0.7687
2006.11.05,0.7668
2006.10.29,0.7699
2006.10.22,0.768
2006.10.15,0.7586
2006.10.08,0.7509
2006.10.01,0.7426
2006.09.24,0.7457
2006.09.17,0.7498
2006.09.10,0.7529
2006.09.03,0.7539
2006.08.27,0.7669
2006.08.20,0.7571
2006.08.13,0.7592
2006.08.06,0.7661
2006.07.30,0.7655
2006.07.23,0.7673
2006.07.16,0.7521
2006.07.09,0.753
2006.07.02,0.7512
2006.06.25,0.7421
2006.06.18,0.7316
2006.06.11,0.7383
2006.06.04,0.7482
2006.05.28,0.752
2006.05.21,0.7573
2006.05.14,0.7581
2006.05.07,0.7728
2006.04.30,0.772
2006.04.23,0.7593
2006.04.16,0.744
2006.04.09,0.7277
2006.04.02,0.7261
2006.03.26,0.7162
2006.03.19,0.7085
2006.03.12,0.7272
2006.03.05,0.7318
2006.02.26,0.745
2006.02.19,0.7393
2006.02.12,0.7393
2006.02.05,0.7375
2006.01.29,0.7487
2006.01.22,0.7492
2006.01.15,0.7478
2006.01.08,0.755
2006.01.01,0.7539
2005.12.25,0.7326
2005.12.18,0.7288
2005.12.11,0.7435
2005.12.04,0.7503
2005.11.27,0.7479
2005.11.20,0.7356
2005.11.13,0.7329
2005.11.06,0.7326
2005.10.30,0.733
2005.10.23,0.749
2005.10.16,0.7488
2005.10.09,0.7521
2005.10.02,0.7567
2005.09.25,0.7619
2005.09.18,0.7569
2005.09.11,0.7675
2005.09.04,0.775
2005.08.28,0.7649
2005.08.21,0.7558
2005.08.14,0.7512
2005.08.07,0.7717
2005.07.31,0.7682
2005.07.24,0.7566
2005.07.17,0.7634
2005.07.10,0.7492
2005.07.03,0.7419
2005.06.26,0.7519
2005.06.19,0.7695
2005.06.12,0.778
2005.06.05,0.7613
2005.05.29,0.7565
2005.05.22,0.7632
2005.05.15,0.7561
2005.05.08,0.7614
2005.05.01,0.7754
2005.04.24,0.7813
2005.04.17,0.7813
2005.04.10,0.768
2005.04.03,0.7718
2005.03.27,0.7711
2005.03.20,0.7715
2005.03.13,0.795
2005.03.06,0.7931
2005.02.27,0.7908
2005.02.20,0.7866
2005.02.13,0.7885
2005.02.06,0.7862
2005.01.30,0.7704
2005.01.23,0.7749
2005.01.16,0.7694
2005.01.09,0.7589
2005.01.02,0.7574
2004.12.26,0.783
2004.12.19,0.769
2004.12.12,0.7623
2004.12.05,0.7513
2004.11.28,0.7818
2004.11.21,0.7907
2004.11.14,0.7838
2004.11.07,0.7692
2004.10.31,0.7629
2004.10.24,0.7485
2004.10.17,0.74
2004.10.10,0.7313
2004.10.03,0.7349
2004.09.26,0.7259
2004.09.19,0.7146
2004.09.12,0.6981
2004.09.05,0.6955
2004.08.29,0.6914
2004.08.22,0.7027
2004.08.15,0.7238
2004.08.08,0.7169
2004.08.01,0.7138
2004.07.25,0.7027
2004.07.18,0.7096
2004.07.11,0.7325
2004.07.04,0.7221
2004.06.27,0.7133
2004.06.20,0.7006
2004.06.13,0.6889
2004.06.06,0.6916
2004.05.30,0.6959
2004.05.23,0.7146
2004.05.16,0.6979
2004.05.09,0.6915
2004.05.02,0.7035
2004.04.25,0.7208
2004.04.18,0.7339
2004.04.11,0.744
2004.04.04,0.7634
2004.03.28,0.7571
2004.03.21,0.747
2004.03.14,0.7491
2004.03.07,0.7335
2004.02.29,0.7594
2004.02.22,0.7737
2004.02.15,0.7711
2004.02.08,0.7898
2004.02.01,0.771
2004.01.25,0.7642
2004.01.18,0.7712
2004.01.11,0.7637
2004.01.04,0.7768
2003.12.28,0.7581
2003.12.21,0.7409
2003.12.14,0.736
2003.12.07,0.7419
2003.11.30,0.7368
2003.11.23,0.7244
2003.11.16,0.7238
2003.11.09,0.7208
2003.11.02,0.7097
2003.10.26,0.7084
2003.10.19,0.6992
2003.10.12,0.6926
2003.10.05,0.6916
2003.09.28,0.6791
2003.09.21,0.6738
2003.09.14,0.6727
2003.09.07,0.6634
2003.08.31,0.6488
2003.08.24,0.6472
2003.08.17,0.6525
2003.08.10,0.6603
2003.08.03,0.6524
2003.07.27,0.6516
2003.07.20,0.6634
2003.07.13,0.6482
2003.07.06,0.6598
2003.06.29,0.6786
2003.06.22,0.6679
2003.06.15,0.6685
2003.06.08,0.6686
2003.06.01,0.6584
2003.05.25,0.6527
2003.05.18,0.6603
2003.05.11,0.6533
2003.05.04,0.6467
2003.04.27,0.6318
2003.04.20,0.6166
2003.04.13,0.6146
2003.04.06,0.6057
2003.03.30,0.6009
2003.03.23,0.6002
2003.03.16,0.5911
2003.03.09,0.5978
2003.03.02,0.6133
2003.02.23,0.6089
2003.02.16,0.5976
2003.02.09,0.5922
2003.02.02,0.5899
2003.01.26,0.5872
2003.01.19,0.5921
2003.01.12,0.592
2003.01.05,0.5833
2002.12.29,0.5677
2002.12.22,0.5612
2002.12.15,0.5626
2002.12.08,0.5651
2002.12.01,0.5611
2002.11.24,0.5608
2002.11.17,0.5637
2002.11.10,0.5637
2002.11.03,0.5646
2002.10.27,0.5594
2002.10.20,0.5557
2002.10.13,0.5502
2002.10.06,0.5496
2002.09.29,0.5464
2002.09.22,0.5438
2002.09.15,0.5462
2002.09.08,0.5502
2002.09.01,0.5474
2002.08.25,0.5508
2002.08.18,0.5432
2002.08.11,0.5462
2002.08.04,0.5359
2002.07.28,0.5393
2002.07.21,0.5363
2002.07.14,0.5565
2002.07.07,0.5588
2002.06.30,0.5575
2002.06.23,0.5636
2002.06.16,0.5749
2002.06.09,0.5604
2002.06.02,0.5734
2002.05.26,0.5674
2002.05.19,0.5565
2002.05.12,0.5526
2002.05.05,0.545
2002.04.28,0.5394
2002.04.21,0.5437
2002.04.14,0.5404
2002.04.07,0.5343
2002.03.31,0.5306
2002.03.24,0.5333
2002.03.17,0.5307
2002.03.10,0.5259
2002.03.03,0.5231
2002.02.24,0.5194
2002.02.17,0.5127
2002.02.10,0.5171
2002.02.03,0.5113
2002.01.27,0.5094
2002.01.20,0.5167
2002.01.13,0.5143
2002.01.06,0.52
2001.12.30,0.521
2001.12.23,0.5106
2001.12.16,0.5087
2001.12.09,0.5178
2001.12.02,0.5181
2001.11.25,0.5218
2001.11.18,0.518
2001.11.11,0.5222
2001.11.04,0.5149
2001.10.28,0.5088
