Date,Time,Open,Highest,Lowest,Adjust,Volume,Rate_high,Rate_low
2011.02.13,0:00,0.99822,1.01562,0.99421,1.01441,301704,0.017431027,-0.004017151
2011.02.20,0:00,1.01365,1.01763,0.99652,1.01743,293280,0.003926405,-0.016899324
2011.02.27,0:00,1.015,1.02005,1.00735,1.01367,274548,0.004975369,-0.007536946
2011.03.06,0:00,1.01458,1.01832,0.99668,1.01359,297930,0.003686254,-0.017642768
2011.03.13,0:00,1.01255,1.01263,0.97042,0.99567,457815,7.90E-05,-0.041607822
2011.03.20,0:00,0.99557,1.02916,0.99507,1.02581,247738,0.033739466,-0.000502225
2011.03.27,0:00,1.02363,1.03952,1.02026,1.03844,244275,0.015523187,-0.003292205
2011.04.03,0:00,1.03965,1.05812,1.02865,1.0565,259715,0.017765594,-0.010580484
2011.04.10,0:00,1.05645,1.0579,1.03879,1.05649,297169,0.001372521,-0.016716361
2011.04.17,0:00,1.05601,1.07727,1.04412,1.07338,263144,0.020132385,-0.011259363
2011.04.24,0:00,1.07413,1.09756,1.06755,1.09688,223972,0.021813002,-0.006125888
2011.05.01,0:00,1.09615,1.101,1.05347,1.06985,364644,0.004424577,-0.038936277
2011.05.08,0:00,1.0717,1.08867,1.05187,1.05706,393772,0.015834655,-0.018503312
2011.05.15,0:00,1.05755,1.07089,1.05037,1.0658,354557,0.012614061,-0.006789277
2011.05.22,0:00,1.06407,1.07164,1.04388,1.0688,400291,0.007114194,-0.018974316
2011.05.29,0:00,1.0725,1.0773,1.05865,1.07148,312929,0.004475524,-0.012913753
2011.06.05,0:00,1.07185,1.07656,1.05241,1.05351,332486,0.004394272,-0.018136866
2011.06.12,0:00,1.05315,1.07135,1.04759,1.06215,343286,0.017281489,-0.0052794
2011.06.19,0:00,1.06045,1.06486,1.04533,1.04885,340074,0.004158612,-0.014258098
2011.06.26,0:00,1.04805,1.07881,1.03891,1.07679,323802,0.029349745,-0.008720958
2011.07.03,0:00,1.07736,1.07862,1.06528,1.07528,286669,0.001169526,-0.011212594
2011.07.10,0:00,1.0709,1.07995,1.05233,1.0639,404887,0.008450836,-0.017340555
2011.07.17,0:00,1.0627,1.08726,1.05589,1.08498,332868,0.023110944,-0.006408206
2011.07.24,0:00,1.08303,1.10784,1.07939,1.09929,306373,0.022907953,-0.003360941
2011.07.31,0:00,1.10285,1.10632,1.03738,1.04405,369599,0.003146393,-0.059364374
2011.08.07,0:00,1.04247,1.04452,0.99257,1.03535,548463,0.001966483,-0.047867085
2011.08.14,0:00,1.03657,1.05998,1.03134,1.04049,382811,0.022584099,-0.005045487
2011.08.21,0:00,1.03757,1.05906,1.03611,1.05705,360306,0.020711856,-0.001407134
2011.08.28,0:00,1.05847,1.07629,1.05593,1.06423,311030,0.016835621,-0.00239969
2011.09.04,0:00,1.06045,1.06595,1.042,1.04696,346023,0.005186477,-0.017398274
2011.09.11,0:00,1.043,1.04391,1.01759,1.036,475514,0.000872483,-0.024362416
2011.09.18,0:00,1.0301,1.03139,0.96673,0.97775,507036,0.001252306,-0.061518299
2011.09.25,0:00,0.98085,0.99836,0.96203,0.96601,510929,0.017851863,-0.019187439
2011.10.02,0:00,0.96561,0.98773,0.9386,0.97673,558595,0.022907799,-0.027971956
2011.10.09,0:00,0.97528,1.03441,0.97501,1.03386,429013,0.060628743,-0.000276844
2011.10.16,0:00,1.03245,1.03767,1.01164,1.03735,467595,0.005055935,-0.02015594
2011.10.23,0:00,1.03325,1.07509,1.03136,1.07067,525057,0.040493588,-0.00182918
2011.10.30,0:00,1.07066,1.07072,1.02013,1.04072,493127,5.60E-05,-0.047195188
2011.11.06,0:00,1.04073,1.04249,1.00508,1.02731,478708,0.001691121,-0.034254802
2011.11.13,0:00,1.03425,1.03425,0.99628,1.00064,515309,0,-0.036712594
2011.11.20,0:00,0.99944,1.0012,0.96619,0.97095,465758,0.001760986,-0.03326863
2011.11.27,0:00,0.98184,1.03291,0.97885,1.02126,549317,0.052014585,-0.003045303
2011.12.04,0:00,1.02527,1.03781,1.00466,1.02146,471771,0.012230925,-0.020102022
2011.12.11,0:00,1.02077,1.02141,0.98596,0.99805,469555,0.000626978,-0.034101708
2011.12.18,0:00,0.99861,1.02172,0.98814,1.01463,348057,0.023142168,-0.010484574
2011.12.25,0:00,1.01444,1.02666,1.0043,1.02066,194305,0.012046055,-0.009995663
2012.01.01,0:00,1.02201,1.03846,1.01953,1.02265,293847,0.016095733,-0.002426591
2012.01.08,0:00,1.01996,1.03758,1.01436,1.0327,355197,0.017275187,-0.005490411
2012.01.15,0:00,1.0288,1.04867,1.02525,1.04826,355715,0.019313764,-0.003450622
2012.01.22,0:00,1.04765,1.06857,1.04263,1.06547,364039,0.019968501,-0.004791677
2012.01.29,0:00,1.06365,1.07921,1.05247,1.07692,377912,0.014628872,-0.010510976
2012.02.05,0:00,1.07535,1.08424,1.06381,1.06717,382211,0.008267076,-0.01073139
2012.02.12,0:00,1.06898,1.07973,1.06271,1.06985,393936,0.010056315,-0.005865404
2012.02.19,0:00,1.0771,1.08142,1.05957,1.06925,340063,0.00401077,-0.016275183
2012.02.26,0:00,1.07043,1.08542,1.06487,1.07306,354114,0.014003718,-0.005194174
2012.03.04,0:00,1.0739,1.07417,1.05076,1.05739,363751,0.00025142,-0.02154763
